down,quarter,yardsToGo,yardlineNumber,defendersInTheBox,numberOfPassRushers,HomeScoreBeforePlay,HomeScoreAfterPlay,VisitorScoreBeforePlay,VisitorScoreAfterPlay,PassLength,YardsAfterCatch,PlayResult,firstDown_Conversion
4,1,1,9,10,4,10,17,3,3,6,3,9,1
4,1,1,21,7,4,10,10,0,0,3,1,4,1
4,2,4,17,8,5,23,23,13,13,5,4,9,1
4,2,12,18,6,4,0,0,0,0,0,-6,-6,0
4,1,2,23,4,4,13,13,14,14,2,3,5,1
4,1,1,9,6,4,13,13,0,0,-1,-2,-3,0
4,1,1,8,5,5,6,6,6,6,1,3,4,1
4,1,1,17,7,4,14,14,3,3,0,0,0,0
4,3,3,37,4,4,0,0,6,6,2,2,4,1
4,3,1,19,9,5,20,20,31,31,5,1,6,1
4,4,8,10,6,4,24,24,13,13,-1,-1,-2,0
4,1,7,2,7,2,0,7,14,14,1,1,2,0
4,4,2,5,6,4,10,10,7,7,2,2,4,1
4,1,9,29,8,3,3,3,3,3,7,2,9,0
4,2,2,13,5,3,20,20,6,6,5,2,7,1
4,2,3,2,6,4,13,13,0,0,-1,-3,-4,0
4,1,2,2,3,5,7,14,7,7,2,0,2,0
4,3,8,19,6,4,24,24,31,31,5,2,7,0
4,4,1,1,8,4,40,40,6,6,1,0,1,0
4,1,7,12,4,4,10,10,10,10,4,1,5,0
4,4,1,2,4,4,34,41,23,23,2,0,2,1
4,1,3,14,7,5,13,13,7,14,3,11,14,1
4,4,1,19,9,4,0,0,21,21,5,5,10,1
4,2,5,31,6,2,10,10,23,23,11,1,12,1
4,1,5,4,6,3,13,13,10,10,1,0,1,0
4,4,3,6,3,4,21,21,23,23,2,2,4,1
4,3,1,2,6,7,0,0,10,10,0,0,0,0
4,1,1,8,7,6,14,14,13,13,2,1,3,1
4,4,2,20,7,5,14,14,7,7,5,1,6,1
4,2,2,22,8,4,20,20,3,3,1,0,1,0
4,4,1,15,9,5,13,13,24,24,0,0,0,0
4,3,1,3,9,5,14,14,3,10,2,1,3,1
4,1,5,24,7,3,7,7,10,10,4,0,4,0
4,3,2,3,8,5,0,0,13,13,0,0,0,0
4,1,6,1,7,3,10,10,10,17,1,0,1,0
4,1,7,5,8,3,14,14,6,6,-1,-3,-4,0
4,2,3,23,7,3,23,23,0,0,4,1,5,1
4,4,2,63,8,4,31,31,14,14,4,0,4,1
4,2,2,11,7,4,21,21,14,21,4,7,11,1
4,3,1,3,6,5,31,38,23,23,1,2,3,1
4,1,2,31,7,4,13,13,7,7,5,1,6,1
4,2,1,7,5,3,10,17,0,0,4,3,7,1
4,2,3,1,7,4,3,10,24,24,1,0,1,0
4,3,4,2,4,4,10,10,34,41,2,0,2,0
4,2,5,11,6,7,24,24,7,7,6,0,6,1
4,3,2,8,7,4,10,10,13,20,7,1,8,1
4,1,1,11,5,4,14,14,13,13,2,4,6,1
4,4,2,44,7,3,24,24,31,31,0,0,0,0
4,4,3,6,7,6,24,24,27,34,5,1,6,1
4,3,3,1,5,4,31,31,34,41,1,0,1,0
4,3,2,1,7,2,10,10,17,17,1,0,1,0
4,1,3,5,5,6,6,13,13,13,5,0,5,1
4,3,1,12,6,4,13,13,24,24,2,1,3,1
4,4,3,7,6,4,14,14,10,10,-1,0,-1,0
4,4,2,30,7,4,6,6,21,21,2,0,2,0
4,4,1,52,7,4,20,20,31,31,0,0,0,0
4,2,2,3,8,2,20,20,10,10,1,2,3,1
4,2,1,13,4,5,7,7,10,10,3,2,5,1
4,3,2,6,8,4,34,34,7,7,0,-5,-5,0
4,4,1,14,8,5,28,28,6,6,2,0,2,1
4,1,3,8,5,4,10,10,0,0,5,1,6,1
4,1,1,14,7,4,0,0,10,10,2,6,8,1
4,1,2,7,5,3,0,7,10,10,1,6,7,1
4,4,3,9,6,4,31,31,0,0,3,3,6,1
4,1,5,4,5,6,13,20,7,7,1,3,4,0
4,3,2,4,6,7,0,7,27,27,3,1,4,1
4,1,1,5,6,5,3,3,10,17,1,4,5,1
4,1,1,9,4,4,13,13,3,3,0,0,0,0
4,4,6,2,5,4,42,42,31,37,1,1,2,0
4,4,5,16,6,3,40,40,28,28,3,0,3,0
4,2,2,5,7,5,20,20,3,3,0,-3,-3,0
4,3,6,23,4,3,20,20,31,31,8,1,9,1
4,3,4,12,7,5,14,14,31,31,1,7,8,1
4,2,4,10,6,4,23,23,14,14,3,2,5,1
4,1,2,23,6,5,14,14,14,14,13,0,13,1
4,4,2,13,5,5,42,42,42,42,1,0,1,0
4,3,11,7,5,3,10,10,10,10,9,0,9,0
4,1,1,4,7,4,6,6,6,13,4,0,4,1
4,3,1,8,6,3,7,7,24,31,2,6,8,1
4,3,2,29,6,4,14,14,31,31,7,3,10,1
4,1,1,6,5,4,7,7,3,10,3,3,6,1
4,1,2,33,7,3,3,3,14,14,1,5,6,1
4,1,2,1,8,3,0,7,6,6,1,0,1,0
4,1,1,40,7,7,13,13,3,3,4,4,8,1
4,4,9,7,6,3,14,14,34,34,1,6,7,0
4,3,1,17,7,5,28,28,34,34,3,3,6,1
4,1,1,12,6,4,10,10,3,3,2,7,9,1
4,4,1,42,9,4,7,7,24,24,0,0,0,0
4,2,2,1,7,3,17,17,13,20,1,0,1,0
4,1,4,6,7,5,3,3,10,10,5,0,5,1
4,3,5,8,8,4,10,10,6,6,-1,0,-1,0
4,1,1,9,6,3,7,7,14,14,1,3,4,1
4,2,9,8,7,5,14,14,3,3,-1,0,-1,0
4,4,2,14,8,3,17,17,23,23,0,0,0,0
4,3,5,9,3,4,3,3,20,20,1,7,8,1
4,4,3,10,5,4,13,13,20,20,-1,-5,-6,0
4,1,1,78,6,6,14,14,7,7,6,1,7,1
4,2,3,2,4,4,0,7,23,23,2,0,2,0
4,1,1,15,6,4,10,10,10,10,4,0,4,1
4,1,2,17,6,3,14,14,14,14,1,2,3,1
4,1,5,1,6,3,14,14,14,14,0,0,0,0
4,2,4,13,4,4,0,0,20,20,-1,0,-1,0
4,4,5,1,6,5,7,7,21,21,0,0,0,0
4,3,3,16,5,5,13,13,10,10,3,0,3,0
4,1,2,7,4,4,6,6,13,13,-1,-5,-6,0
4,1,2,28,7,4,13,13,10,10,0,-4,-4,0
4,2,2,13,6,2,10,10,23,23,0,0,0,0
4,3,1,14,4,3,20,20,24,24,0,-2,-2,0
4,4,1,5,5,2,27,27,37,37,1,2,3,1
4,2,4,10,5,4,7,7,0,0,0,0,0,0
4,2,4,22,8,5,20,20,24,24,2,0,2,0
4,4,3,2,8,2,7,14,23,23,1,1,2,0
4,3,1,18,6,5,24,24,0,0,1,0,1,0
4,3,5,12,5,5,28,28,20,20,8,0,8,1
4,2,1,8,5,5,3,3,7,7,4,1,5,1
4,3,7,6,7,4,0,0,31,31,-1,-2,-3,0
4,2,5,34,6,5,14,14,13,13,13,2,15,1
4,3,1,15,6,5,21,28,21,21,3,12,15,1
4,1,1,6,6,4,7,7,10,10,2,0,2,1
4,2,1,8,5,3,23,23,20,20,3,4,7,1
4,2,8,2,5,4,24,24,21,21,7,0,7,0
4,2,1,12,7,6,21,21,21,21,-1,-2,-3,0
4,2,2,1,6,5,6,6,0,7,1,0,1,0
4,1,8,3,9,5,6,6,10,10,1,0,1,0
4,4,1,18,5,4,21,21,7,7,0,0,0,0
4,2,3,11,6,5,14,14,24,24,-1,-2,-3,0
4,1,1,16,5,4,3,3,10,10,1,0,1,0
4,4,8,11,8,4,3,3,7,7,1,3,4,0
4,4,2,10,6,5,27,27,31,31,0,0,0,0
4,2,5,5,3,5,10,17,14,14,3,2,5,0
4,2,1,18,6,4,20,20,20,20,2,3,5,1
4,3,4,28,6,6,31,31,21,21,2,1,3,0
4,1,1,4,7,4,10,10,0,7,2,2,4,1
4,2,4,43,7,5,14,14,13,13,6,4,10,1
4,3,1,17,7,2,28,28,21,21,0,-2,-2,0
4,1,11,30,4,6,3,3,13,13,2,7,9,0
4,2,1,44,7,5,20,20,3,3,-1,-3,-4,0
4,4,9,7,6,4,37,37,24,24,3,0,3,0
4,3,7,4,3,3,21,28,27,27,2,2,4,0
4,4,3,39,7,4,20,20,10,10,1,0,1,0
4,2,1,31,6,3,21,21,24,24,1,0,1,0
4,2,2,25,6,5,24,24,21,21,4,2,6,1
4,1,3,1,8,3,14,14,7,7,2,0,2,0
4,1,3,8,3,7,6,6,10,10,2,0,2,0
4,3,4,3,7,6,24,24,28,28,1,0,1,0
4,3,3,10,3,5,14,14,28,28,7,0,7,1
4,3,2,1,5,3,6,13,27,27,1,0,1,0
4,1,4,11,5,4,13,13,0,0,1,0,1,0
4,3,6,5,7,3,24,24,10,17,4,1,5,0
4,1,1,6,7,4,10,10,6,6,2,0,2,1
4,3,7,6,4,4,0,0,24,24,4,0,4,0
4,1,3,51,9,5,7,7,10,10,0,0,0,0
4,2,4,62,7,3,17,17,10,10,2,1,3,0
4,2,5,3,9,4,24,24,20,20,1,2,3,0
4,2,7,3,7,4,24,24,10,10,2,2,4,0
4,1,2,13,9,4,3,3,6,6,0,0,0,0
4,1,2,37,5,3,7,7,13,13,3,7,10,1
4,2,3,1,7,4,21,21,17,24,1,0,1,0
4,1,1,7,9,3,14,14,0,0,0,-5,-5,0
4,3,4,7,7,5,21,28,34,34,7,0,7,1
4,4,2,15,8,4,31,31,21,21,1,1,2,0
4,3,2,24,4,3,0,0,14,14,4,4,8,1
4,3,2,30,5,3,6,6,10,10,13,0,13,1
4,1,6,24,6,3,3,3,7,7,0,-4,-4,0
4,4,13,19,5,4,23,23,23,23,2,0,2,0
4,1,7,20,7,5,14,14,14,14,10,3,13,1
4,4,2,26,8,4,34,34,34,34,3,7,10,1
4,3,2,11,8,4,27,27,21,21,2,4,6,1
4,3,10,7,4,5,7,7,3,3,1,5,6,0
4,4,2,24,8,6,27,27,40,40,10,1,11,1
4,2,2,8,7,3,6,6,14,20,8,0,8,1
4,2,1,1,5,5,13,13,6,12,1,0,1,0
4,1,1,3,6,4,10,17,0,0,1,2,3,1
4,4,4,22,6,3,24,24,23,23,2,2,4,0
4,4,2,9,6,4,10,10,0,0,2,3,5,1
4,1,1,1,7,3,13,20,14,14,1,0,1,0
4,4,2,12,7,4,6,6,24,24,0,0,0,0
4,4,1,16,6,5,27,27,6,6,10,5,15,1
4,4,1,15,4,4,27,27,3,3,11,0,11,1
4,1,3,5,4,3,10,17,13,13,5,0,5,1
4,3,2,12,6,4,6,6,13,13,1,3,4,1
4,4,1,59,4,5,31,31,10,10,3,2,5,1
4,4,4,8,6,4,21,21,37,37,3,4,7,1
4,1,14,48,8,5,14,14,3,3,1,6,7,0
4,3,3,9,9,4,3,3,13,13,2,1,3,0
4,4,12,21,7,4,28,28,27,27,0,-1,-1,0
4,1,1,7,4,5,6,6,3,10,6,1,7,1
4,2,3,19,8,4,3,3,3,3,7,0,7,1
4,4,1,28,3,2,34,34,34,34,2,0,2,1
4,1,2,84,4,5,7,7,14,14,4,1,5,1
4,4,1,7,7,3,13,19,40,40,2,5,7,1
4,4,6,3,3,4,13,20,31,31,2,1,3,0
4,3,3,8,5,5,0,0,7,7,3,2,5,1
4,3,4,38,8,4,31,31,17,17,7,2,9,1
4,3,2,30,4,5,20,20,23,23,1,0,1,0
4,4,8,27,3,4,17,17,0,0,4,1,5,0
4,1,1,6,5,4,13,13,10,10,1,5,6,1
4,4,6,1,7,3,37,44,3,3,1,0,1,0
4,1,16,25,3,5,3,3,13,13,2,3,5,0
4,3,2,6,3,3,31,31,34,34,-1,-1,-2,0
4,1,1,4,3,3,6,6,10,10,1,0,1,0
4,3,1,40,8,4,10,10,28,28,-1,0,-1,0
4,1,1,22,5,4,10,10,10,10,0,-1,-1,0
4,4,2,7,4,5,6,6,42,42,5,0,5,1
4,3,4,33,5,3,7,7,14,14,1,5,6,1
4,4,1,5,7,3,10,10,40,40,2,2,4,1
4,1,2,5,6,5,14,14,14,14,0,-4,-4,0
4,3,2,5,11,5,13,13,31,31,2,0,2,0
4,2,5,3,8,4,7,7,17,17,0,0,0,0
4,1,1,25,7,4,10,10,10,10,5,1,6,1
4,1,1,49,5,3,3,3,6,6,7,4,11,1
4,1,2,41,6,2,6,6,10,10,3,0,3,1
4,2,1,7,6,4,3,3,7,14,4,3,7,1
4,2,9,6,5,4,10,10,21,21,0,0,0,0
4,4,5,8,7,3,7,7,21,21,3,5,8,1
4,3,3,17,5,2,6,6,6,6,1,0,1,0
4,4,3,14,7,4,23,23,3,3,4,0,4,1
4,2,4,1,6,3,23,30,21,21,1,0,1,0
4,1,5,3,5,2,10,10,6,13,1,2,3,0
4,2,1,2,5,0,13,20,23,23,2,0,2,1
4,4,12,8,4,4,0,0,7,7,2,3,5,0
4,3,1,2,6,5,34,34,27,27,0,0,0,0
4,4,7,14,5,4,14,14,31,31,2,7,9,1
4,4,3,4,5,3,6,6,17,17,0,-5,-5,0
4,3,1,18,3,3,31,31,13,13,2,2,4,1
4,1,7,27,3,3,13,13,0,0,7,2,9,1
4,1,1,4,8,4,0,0,6,6,1,3,4,1
4,3,3,26,5,4,24,24,28,28,4,0,4,1
4,4,2,20,6,4,40,40,3,3,3,0,3,1
4,2,1,4,5,5,20,20,14,14,0,-5,-5,0
4,4,4,3,9,4,34,41,37,37,3,0,3,0
4,2,1,22,7,3,21,21,14,14,15,0,15,1
4,4,2,1,5,4,31,31,27,27,1,0,1,0
4,4,1,55,4,2,21,21,40,40,0,0,0,0
4,3,2,4,7,4,21,21,31,38,4,0,4,1
4,1,7,3,7,5,3,3,3,3,1,2,3,0
4,2,5,1,6,4,21,28,20,20,1,0,1,0
4,3,3,1,5,4,10,10,13,20,1,0,1,0
4,3,6,24,7,4,23,23,0,0,4,1,5,0
4,1,12,4,5,5,3,3,7,7,10,0,10,0
4,1,3,25,7,3,6,6,6,6,12,0,12,1
4,1,5,7,5,5,13,13,10,10,1,2,3,0
4,2,1,5,5,4,7,7,3,3,2,0,2,1
4,3,2,28,6,4,34,34,20,20,2,0,2,0
4,4,21,9,6,4,27,27,21,21,12,1,13,0
4,2,4,13,4,4,0,0,24,24,3,9,12,1
4,3,1,37,8,3,20,20,34,34,5,2,7,1
4,4,2,60,5,4,37,37,14,14,1,4,5,1
4,2,5,16,3,5,7,7,20,20,1,4,5,0
4,4,2,10,7,3,3,3,13,13,1,0,1,0
4,4,8,17,8,6,24,24,42,42,-1,0,-1,0
4,2,2,38,5,4,6,6,24,24,2,6,8,1
4,1,3,9,6,6,7,7,14,14,4,0,4,1
4,1,1,5,7,4,6,13,6,6,4,1,5,1
4,2,2,14,8,5,20,20,20,20,1,3,4,1
4,2,1,12,4,5,21,21,7,7,-1,-2,-3,0
4,2,5,29,5,4,6,6,17,17,7,1,8,1
4,2,2,16,3,3,24,24,23,23,1,0,1,0
4,2,3,73,8,4,7,7,21,21,0,-2,-2,0
4,4,11,34,6,4,21,21,3,3,11,2,13,1
4,3,1,18,4,4,17,17,7,7,-1,-3,-4,0
4,1,2,6,6,4,10,10,7,7,4,0,4,1
4,4,9,13,6,3,0,0,14,14,1,2,3,0
4,2,2,55,7,4,17,17,24,24,6,1,7,1
4,1,5,38,7,5,14,14,7,7,3,11,14,1
4,3,1,14,4,5,20,20,13,13,0,0,0,0
4,2,3,2,9,5,20,27,24,24,1,1,2,0
4,2,4,4,8,2,6,6,24,24,2,0,2,0
4,3,2,9,7,4,3,3,6,6,2,5,7,1
4,2,2,3,8,6,6,6,14,14,2,0,2,0
4,2,2,57,8,4,10,10,7,7,0,-2,-2,0
4,3,3,1,3,4,28,35,31,31,1,0,1,0
4,1,3,23,6,3,13,13,10,10,4,4,8,1
4,3,7,14,8,3,27,27,23,23,1,0,1,0
4,2,11,11,4,4,24,24,7,7,1,3,4,0
4,1,1,28,6,4,3,3,3,3,3,3,6,1
4,2,1,58,3,4,13,13,17,17,5,6,11,1
4,1,2,8,7,5,14,21,10,10,6,2,8,1
4,1,2,4,5,6,13,13,13,13,3,1,4,1
4,4,6,10,7,6,34,34,31,31,0,0,0,0
4,2,2,24,7,4,21,21,6,6,0,0,0,0
4,3,2,54,6,4,3,3,17,17,2,5,7,1
4,3,2,2,7,3,3,10,28,28,2,0,2,0
4,2,1,22,6,2,0,0,20,20,1,1,2,1
4,4,3,2,3,3,21,28,21,21,1,1,2,0
4,4,3,31,8,5,6,6,24,24,6,2,8,1
4,4,2,27,7,5,31,31,20,20,5,2,7,1
4,3,1,20,7,2,3,3,34,34,3,6,9,1
4,2,1,23,7,2,6,6,23,23,1,3,4,1
4,1,1,1,5,4,14,14,3,10,1,0,1,0
4,1,3,16,5,4,13,13,13,13,0,-11,-11,0
4,1,3,12,5,3,13,13,13,13,2,4,6,1
4,2,1,42,6,3,20,20,21,21,3,0,3,1
4,3,2,7,4,4,20,20,13,13,0,-1,-1,0
4,3,3,1,6,2,13,13,7,7,0,0,0,0
4,3,2,11,7,4,10,10,28,28,6,3,9,1
4,3,1,9,6,4,31,31,7,7,1,0,1,0
4,2,5,65,7,6,21,21,6,6,1,0,1,0
4,3,3,10,6,4,21,21,34,34,3,0,3,0
4,1,1,3,7,5,6,6,14,20,1,2,3,1
4,3,14,5,7,3,3,3,28,28,2,6,8,0
4,1,7,24,5,5,7,7,6,6,1,0,1,0
4,3,1,4,6,3,17,17,23,23,1,2,3,1
4,1,2,8,6,5,10,10,14,14,-1,-1,-2,0
4,1,3,43,5,5,13,13,10,10,6,4,10,1
4,1,4,11,3,3,0,0,10,10,1,0,1,0
4,2,3,9,8,4,7,7,13,13,0,0,0,0
4,2,1,4,6,5,6,6,14,21,1,3,4,1
4,3,5,3,6,4,6,6,24,24,0,-1,-1,0
4,4,1,20,6,4,6,6,40,40,1,8,9,1
4,1,1,10,9,3,14,14,14,14,2,4,6,1
4,2,2,4,5,3,23,23,20,27,3,1,4,1
4,2,13,33,8,5,0,0,23,23,2,5,7,0
4,3,14,2,8,2,7,7,31,31,4,0,4,0
4,1,1,41,9,4,7,7,10,10,1,9,10,1
4,3,2,1,6,4,31,31,6,6,1,0,1,0
4,3,15,29,6,3,14,14,31,31,5,0,5,0
4,3,3,8,8,3,27,27,3,10,6,2,8,1
4,3,3,2,8,7,7,7,0,7,1,1,2,0
4,4,2,37,7,4,31,31,40,40,7,3,10,1
4,3,1,13,7,4,31,31,24,24,4,6,10,1
4,3,1,14,7,5,34,34,3,3,2,2,4,1
4,2,7,3,9,3,0,7,23,23,3,0,3,0
4,2,2,8,6,3,21,21,21,21,6,2,8,1
4,1,5,16,6,4,6,6,0,0,1,8,9,1
4,2,1,27,5,5,6,6,17,17,4,2,6,1
4,2,13,18,5,5,23,23,13,13,3,1,4,0
4,3,1,3,7,5,6,6,7,7,1,1,2,1
4,3,3,34,3,4,27,27,27,27,4,8,12,1
4,3,1,10,6,7,28,28,14,14,6,2,8,1
4,3,9,16,7,5,10,10,31,31,0,0,0,0
4,4,1,14,3,3,40,40,40,40,1,2,3,1
4,2,2,26,8,3,17,17,23,23,10,0,10,1
4,4,2,7,4,3,10,10,14,21,2,5,7,1
4,3,2,9,10,4,28,28,14,14,0,0,0,0
4,4,4,15,5,3,0,0,3,3,0,0,0,0
4,2,4,9,7,4,14,14,17,17,2,1,3,0
4,3,8,4,9,5,7,7,10,17,3,1,4,0
4,2,1,3,7,3,6,6,23,23,0,0,0,0
4,4,1,5,7,5,17,17,28,28,3,2,5,1
4,1,8,19,7,3,0,0,6,6,0,0,0,0
4,2,5,2,8,4,6,6,6,6,0,-1,-1,0
4,4,1,5,6,5,17,17,10,17,2,3,5,1
4,1,3,15,7,1,13,13,0,0,4,5,9,1
4,2,4,30,8,4,7,7,14,14,1,0,1,0
4,1,3,31,7,5,0,0,10,10,0,-3,-3,0
4,1,3,29,7,4,0,0,6,6,3,2,5,1
4,3,8,1,4,5,28,28,28,28,1,1,2,0
4,2,3,8,4,4,20,20,0,0,2,2,4,1
4,2,6,7,8,6,0,0,17,17,2,1,3,0
4,4,12,22,7,4,37,37,34,34,1,0,1,0
4,1,2,10,6,3,3,3,0,0,-1,-5,-6,0
4,1,1,21,5,4,0,0,6,6,3,4,7,1
4,1,9,9,6,6,10,10,3,10,1,8,9,0
4,1,1,17,6,5,10,10,14,14,1,1,2,1
4,4,5,12,6,6,6,6,24,24,4,0,4,0
4,2,4,2,5,1,13,13,6,6,2,0,2,0
4,2,1,5,6,4,7,7,7,7,3,2,5,1
4,1,1,1,7,2,6,6,7,14,1,0,1,0
4,1,2,13,9,4,3,10,7,7,4,9,13,1
4,4,4,38,5,3,21,21,37,37,2,0,2,0
4,4,5,20,4,4,27,27,7,7,-1,-1,-2,0
4,1,3,24,6,5,14,14,3,3,1,0,1,0
4,3,2,12,4,3,14,14,27,27,3,1,4,1
4,4,17,11,6,3,10,10,13,13,0,0,0,0
4,4,2,36,6,2,42,42,27,27,3,2,5,1
4,4,4,18,7,3,10,10,6,6,8,5,13,1
4,3,2,27,5,3,6,6,0,0,1,3,4,1
4,3,3,1,5,4,14,14,17,24,1,0,1,0
4,2,5,6,8,4,14,21,20,20,4,2,6,1
4,4,4,95,4,4,14,14,31,31,2,1,3,0
4,2,1,4,8,3,24,31,3,3,3,1,4,1
4,2,2,14,7,4,17,17,7,7,-1,-3,-4,0
4,2,3,4,6,5,21,21,14,14,0,0,0,0
4,2,3,4,9,5,24,31,21,21,4,0,4,1
4,1,6,2,6,4,6,6,13,13,1,0,1,0
4,4,2,66,4,5,34,34,37,37,1,5,6,1
4,2,1,21,5,4,10,10,13,13,3,0,3,1
4,4,4,14,4,4,24,24,0,0,1,2,3,0
4,3,1,41,6,3,21,21,34,34,0,0,0,0
4,2,8,38,4,5,10,10,17,17,2,5,7,0
4,4,1,21,6,4,28,28,37,37,4,0,4,1
4,4,1,3,5,4,37,37,17,24,2,1,3,1
4,1,15,33,4,3,0,0,0,0,6,0,6,0
4,3,3,30,8,5,24,24,14,14,2,3,5,1
4,4,2,13,7,6,0,0,6,6,3,5,8,1
4,4,4,7,8,5,27,34,37,37,6,1,7,1
4,1,1,15,5,4,3,3,7,7,6,1,7,1
4,3,9,24,9,4,3,3,14,14,0,0,0,0
4,2,1,21,6,3,21,21,6,6,2,2,4,1
4,1,5,32,5,4,7,7,0,0,1,0,1,0
4,4,3,4,6,4,34,34,23,23,2,1,3,0
4,1,2,24,7,3,6,6,14,14,4,4,8,1
4,4,5,9,9,4,0,0,31,31,2,4,6,1
4,1,3,1,5,4,3,3,0,0,0,0,0,0
4,3,3,7,4,4,17,17,17,24,4,3,7,1
4,4,4,6,7,4,34,34,13,13,-1,-3,-4,0
4,2,1,3,6,5,3,3,23,23,2,0,2,1
4,3,2,22,6,3,31,31,31,31,7,5,12,1
4,1,3,28,6,4,10,10,10,10,6,0,6,1
4,4,3,4,6,4,0,0,34,41,4,0,4,1
4,2,7,16,6,6,21,21,24,24,0,0,0,0
4,2,6,5,3,4,13,13,21,21,3,1,4,0
4,4,5,13,6,5,40,40,7,7,1,1,2,0
4,2,2,28,7,3,0,0,14,14,2,7,9,1
4,1,1,44,4,5,6,6,10,10,7,3,10,1
4,1,20,9,6,4,6,6,13,13,15,1,16,0
4,4,4,4,7,3,10,10,40,40,1,3,4,0
4,4,8,11,4,3,6,6,0,0,3,1,4,0
4,2,4,2,7,3,13,13,17,17,0,0,0,0
4,4,4,5,7,4,23,23,37,44,3,2,5,1
4,1,1,2,3,3,3,3,10,17,2,0,2,1
4,2,2,21,7,4,13,13,0,0,1,3,4,1
4,2,2,24,7,4,17,17,24,24,3,5,8,1
4,4,1,14,3,3,0,0,0,0,8,1,9,1
4,2,6,31,5,4,20,20,0,0,2,0,2,0
4,3,1,36,7,5,31,31,0,0,2,0,2,1
4,3,4,15,6,5,31,31,3,3,4,0,4,0
4,1,4,11,6,5,10,17,0,0,8,3,11,1
4,2,2,3,7,3,7,7,24,24,0,0,0,0
4,4,5,24,5,6,14,14,13,13,0,0,0,0
4,3,3,12,5,6,28,28,3,3,2,2,4,1
4,1,1,12,4,5,7,7,7,7,3,3,6,1
4,1,14,6,6,4,3,3,0,0,2,0,2,0
4,1,3,1,3,4,14,21,10,10,1,0,1,0
4,4,1,21,3,2,7,7,28,28,0,0,0,0
4,1,9,18,4,3,14,14,0,0,-1,-3,-4,0
4,3,1,19,6,5,6,6,14,14,13,1,14,1
4,1,1,4,6,5,0,0,7,7,0,0,0,0
4,4,2,11,5,3,0,0,13,13,10,1,11,1
4,1,1,3,8,3,6,13,7,7,1,2,3,1
4,4,3,14,6,5,0,0,17,17,2,5,7,1
4,4,3,7,8,6,20,20,40,40,1,1,2,0
4,2,1,1,8,3,6,6,24,31,1,0,1,0
4,2,1,4,5,6,21,28,10,10,3,1,4,1
4,3,1,28,6,4,13,13,13,13,2,1,3,1
4,3,3,18,4,6,3,3,28,28,1,0,1,0
4,1,2,11,4,4,6,6,14,14,4,4,8,1
4,1,4,10,5,3,10,10,13,13,2,0,2,0
4,3,3,6,5,4,0,7,21,21,1,5,6,1
4,1,2,3,6,6,0,0,3,10,3,0,3,1
4,4,3,11,5,4,40,40,13,13,3,5,8,1
4,1,5,8,7,3,3,9,14,14,3,5,8,1
4,3,3,5,7,4,27,27,13,19,2,3,5,1
4,2,18,1,7,5,7,7,10,10,3,0,3,0
4,1,6,16,7,5,14,14,14,14,1,0,1,0
4,3,3,10,7,2,31,31,13,13,6,3,9,1
4,3,3,17,4,4,17,17,34,34,3,3,6,1
4,3,3,12,5,5,13,13,20,20,3,5,8,1
4,3,1,17,6,4,31,31,34,34,1,0,1,0
4,1,3,14,6,2,13,13,13,13,4,0,4,1
4,1,2,8,9,2,3,3,6,6,0,0,0,0
4,3,3,9,5,3,13,13,13,13,2,0,2,0
4,2,1,12,6,4,23,23,20,20,7,0,7,1
4,3,5,7,6,4,21,21,24,24,3,0,3,0
4,1,8,6,5,4,14,14,6,6,5,2,7,0
4,1,1,4,7,5,13,20,3,3,2,2,4,1
4,3,3,2,5,6,28,28,20,20,0,0,0,0
4,1,5,1,9,4,7,14,13,13,1,0,1,0
4,2,1,14,4,5,24,24,10,10,4,1,5,1
4,1,3,11,3,4,13,13,13,13,1,3,4,1
4,2,1,4,5,3,6,6,6,6,1,3,4,1
4,1,4,20,5,4,7,7,14,14,5,0,5,1
4,1,14,13,5,4,10,10,0,0,1,0,1,0
4,1,3,3,7,4,14,14,0,7,2,1,3,0
4,4,3,55,6,5,21,21,40,40,2,0,2,0
4,4,2,14,7,4,42,42,34,34,3,4,7,1
4,1,3,5,10,4,13,20,10,10,1,4,5,1
4,4,1,3,5,6,3,3,37,44,3,0,3,1
4,2,1,19,6,5,23,23,21,21,3,3,6,1
4,1,3,7,3,3,6,6,3,3,1,3,4,1
4,4,2,95,6,3,10,10,28,28,2,6,8,1
4,2,3,3,7,3,20,20,21,21,1,1,2,0
4,2,1,8,6,4,0,7,21,21,1,7,8,1
4,1,5,9,5,3,13,13,10,10,1,8,9,1
4,1,4,15,8,4,13,13,6,6,4,3,7,1
4,2,1,1,7,5,10,10,14,21,1,0,1,0
4,3,1,33,7,4,28,28,14,14,4,3,7,1
4,3,2,25,3,3,17,17,7,7,0,0,0,0
4,4,1,27,5,4,27,27,37,37,2,2,4,1
4,2,7,19,5,4,7,7,0,0,2,1,3,0
4,4,2,8,8,4,6,6,14,14,2,1,3,1
4,2,15,7,6,4,20,20,6,6,-1,-5,-6,0
4,3,5,5,7,3,27,34,10,10,3,2,5,0
4,1,2,3,8,3,6,6,7,7,0,0,0,0
4,1,1,1,7,3,0,0,14,14,-1,-1,-2,0
4,4,2,14,6,3,3,3,37,37,7,3,10,1
4,2,5,8,3,3,7,7,24,24,1,0,1,0
4,1,7,7,6,5,13,20,13,13,3,4,7,0
4,4,1,8,4,4,23,30,28,28,5,3,8,1
4,2,4,6,9,5,17,17,21,21,0,0,0,0
