,gameId,playId,quarter,GameClock,down,yardsToGo,yardlineSide,yardlineNumber,offenseFormation,personnel.offense,defendersInTheBox,numberOfPassRushers,personnel.defense,HomeScoreBeforePlay,VisitorScoreBeforePlay,HomeScoreAfterPlay,VisitorScoreAfterPlay,isPenalty,PassLength,PassResult,YardsAfterCatch,PlayResult,playDescription,firstDown_Conversion
9600,2017100809,3474,4,02:05:00,4,20,OAK,15.0,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,4.0,"1 DL, 4 LB, 6 DB",17,30,17,30,False,11.0,I,,0,(2:05) (Shotgun) E.Manuel pass incomplete short left to C.Patterson [W.Henry].,0.0
9652,2017100112,1271,2,09:05:00,4,1,DEN,31.0,SINGLEBACK,"1 RB, 3 TE, 1 WR",9.0,,"3 DL, 4 LB, 4 DB",10,0,10,0,False,,,,0,(9:05) M.Lynch up the middle to DEN 31 for no gain (W.Parks).,0.0
9677,2017100112,1959,2,00:04:00,4,3,OAK,18.0,EMPTY,"1 RB, 3 TE, 1 WR",7.0,4.0,"2 DL, 3 LB, 6 DB",10,7,10,7,False,27.0,I,,0,(:04) D.Carr pass incomplete deep right to A.Cooper.,0.0
9916,2017100805,4557,4,00:49:00,4,10,LAC,48.0,SHOTGUN,"1 RB, 3 TE, 1 WR",4.0,3.0,"4 DL, 1 LB, 6 DB",22,27,22,27,False,15.0,IN,,0,(:49) (Shotgun) E.Manning pass short middle intended for E.Engram INTERCEPTED by T.Boston (C.Liuget) at LAC 33. T.Boston to LAC 48 for 15 yards (S.Vereen).,0.0
10178,2017100811,2667,3,03:28:00,4,1,KC,9.0,SHOTGUN,"1 RB, 1 TE, 3 WR",8.0,5.0,"4 DL, 3 LB, 4 DB",7,23,13,23,False,4.0,C,5.0,9,"(3:28) (Shotgun) D.Watson pass short right to W.Fuller V for 9 yards, TOUCHDOWN.",1.0
10360,2017100103,3179,4,12:16:00,4,10,CIN,36.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,6.0,"3 DL, 3 LB, 5 DB",0,31,0,31,False,0.0,I,,0,(12:16) (Shotgun) D.Kizer pass incomplete short middle [C.Lawson].,0.0
10378,2017100103,3602,4,04:24:00,4,7,CIN,48.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"3 DL, 3 LB, 5 DB",0,31,0,31,False,8.0,C,0.0,8,(4:24) (Shotgun) K.Hogan pass short right to R.Louis to CIN 40 for 8 yards (K.Russell).,1.0
10675,2017100806,2957,4,14:55:00,4,1,ARI,34.0,PISTOL,"1 RB, 1 TE, 3 WR",7.0,6.0,"4 DL, 2 LB, 5 DB",31,7,31,7,False,1.0,C,3.0,4,(14:55) (Shotgun) C.Palmer pass short left to L.Fitzgerald to ARZ 38 for 4 yards (M.Jenkins).,1.0
10679,2017100806,3074,4,12:39:00,4,2,ARI,46.0,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,4.0,"4 DL, 3 LB, 4 DB",31,7,31,7,False,14.0,C,0.0,14,(12:39) (Shotgun) C.Palmer pass short right to J.Gresham to PHI 40 for 14 yards (R.McLeod).,1.0
10683,2017100806,3166,4,11:20:00,4,8,PHI,38.0,SHOTGUN,"1 RB, 0 TE, 4 WR",6.0,6.0,"4 DL, 1 LB, 6 DB",31,7,31,7,False,6.0,C,0.0,6,(11:20) (Shotgun) C.Palmer pass short left to Ja.Brown to PHI 32 for 6 yards (P.Robinson).,0.0
10714,2017100810,184,1,11:04:00,4,1,GB,20.0,SINGLEBACK,"1 RB, 3 TE, 1 WR",9.0,,"4 DL, 4 LB, 3 DB",0,0,0,0,False,,,,2,(11:04) E.Elliott up the middle to GB 18 for 2 yards (J.Ryan).,1.0
10755,2017100810,1141,2,08:22:00,4,1,GB,22.0,SINGLEBACK,"1 RB, 3 TE, 1 WR",8.0,,"4 DL, 4 LB, 3 DB",14,6,14,6,False,,,,2,(8:22) D.Prescott up the middle to GB 20 for 2 yards (K.Clark; B.Martinez).,1.0
10805,2017100810,2425,3,04:43:00,4,1,GB,48.0,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,,"4 DL, 2 LB, 5 DB",21,15,21,15,False,,,,10,(4:43) A.Jones left end pushed ob at DAL 42 for 10 yards (J.Heath).,1.0
10846,2017100810,3512,4,02:16:00,4,1,GB,20.0,JUMBO,"1 RB, 3 TE, 1 WR",9.0,,"4 DL, 4 LB, 3 DB",24,28,24,28,False,,,,1,"(2:16) E.Elliott up the middle to GB 20 for no gain (B.Martinez). Dallas challenged the short of the line to gain ruling, and the play was REVERSED. E.Elliott up the middle to GB 19 for 1 yard (B.Martinez).",1.0
11009,2017100113,4010,4,02:28:00,4,3,IND,27.0,EMPTY,"1 RB, 2 TE, 2 WR",5.0,5.0,"3 DL, 4 LB, 4 DB",39,18,45,18,False,27.0,C,0.0,27,"(2:28) (Shotgun) R.Wilson pass deep right to J.McKissic for 27 yards, TOUCHDOWN.",1.0
11120,2017100110,2738,3,05:38:00,4,1,LAC,42.0,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,,"4 DL, 2 LB, 5 DB",10,16,10,16,False,,,,1,(5:38) C.Wentz up the middle to LAC 41 for 1 yard (D.Square).,1.0
11637,2017100808,4252,4,00:08:00,4,10,SEA,20.0,EMPTY,"0 RB, 1 TE, 4 WR",5.0,4.0,"4 DL, 2 LB, 5 DB",10,16,10,16,False,20.0,I,,0,(:08) (Shotgun) J.Goff pass incomplete deep middle to C.Kupp.,0.0
11658,2017100200,463,1,06:52:00,4,1,KC,29.0,JUMBO,"6 OL, 1 RB, 3 TE, 0 WR",8.0,,"3 DL, 4 LB, 4 DB",0,7,0,7,False,,,,5,(6:52) K.Cousins up the middle to KC 24 for 5 yards (T.Mitchell).,1.0
11908,2017101511,3066,4,15:00:00,4,5,NYG,45.0,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,6.0,"4 DL, 2 LB, 5 DB",3,20,3,20,False,3.0,C,3.0,6,"(15:00) (Shotgun) T.Siemian pass short right to D. Thomas to NYG 39 for 6 yards (J.Jenkins). FUMBLES (J.Jenkins), RECOVERED by NYG-E.Apple at NYG 39. E.Apple to NYG 39 for no gain (B.Turner).",1.0
11923,2017101511,3483,4,08:30:00,4,1,NYG,1.0,JUMBO,"6 OL, 2 RB, 2 TE, 0 WR",10.0,,"6 DL, 2 LB, 3 DB",3,20,3,20,False,,,,0,"(8:30) A.Barbre reported in as eligible.  C.Anderson right guard to NYG 1 for no gain (J.Jenkins). Denver challenged the short of the line to gain ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1 at 08:23.)",0.0
12045,2017101509,2671,4,12:54:00,4,2,PIT,4.0,EMPTY,"0 RB, 3 TE, 2 WR",5.0,3.0,"3 DL, 4 LB, 4 DB",3,12,3,12,False,4.0,I,,0,(12:54) (Shotgun) A.Smith pass incomplete short middle to D.Harris (S.Davis).,0.0
12086,2017101509,3653,4,00:58:00,4,18,PIT,48.0,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,4.0,"2 DL, 3 LB, 6 DB",13,19,13,19,False,28.0,I,,0,(:58) (Shotgun) A.Smith pass incomplete deep middle to D.Thomas [C.Heyward].,0.0
12172,2017101506,2395,2,00:03:00,4,1,WAS,1.0,JUMBO,"6 OL, 1 RB, 3 TE, 0 WR",10.0,,"4 DL, 4 LB, 3 DB",17,0,17,6,False,,,,1,"(:03) G.Gilliam reported in as eligible.  C.Hyde left tackle for 1 yard, TOUCHDOWN.",1.0
12259,2017101506,4727,4,00:09:00,4,20,,,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,4.0,"2 DL, 4 LB, 5 DB",26,24,26,24,False,18.0,IN,,0,(:09) (Shotgun) C.Beathard pass deep right intended for G.Kittle INTERCEPTED by K.Fuller at WAS 32. K.Fuller pushed ob at WAS 35 for 3 yards (T.Taylor).,0.0
12308,2017101500,1178,2,07:57:00,4,3,ATL,39.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"3 DL, 3 LB, 5 DB",10,0,10,0,False,3.0,I,,0,(7:57) (Shotgun) J.Cutler pass incomplete short right to J.Landry (D.Poe).,0.0
12344,2017101500,2128,3,07:53:00,4,1,ATL,17.0,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,4.0,"3 DL, 3 LB, 5 DB",17,0,17,0,False,2.0,C,1.0,3,(7:53) (Shotgun) J.Cutler pass short right to D.Williams to ATL 14 for 3 yards (R.Allen).,1.0
12372,2017101500,2867,4,10:09:00,4,2,ATL,44.0,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,4.0,"3 DL, 3 LB, 5 DB",17,14,17,14,False,9.0,C,0.0,9,(10:09) (Shotgun) J.Cutler pass short middle to J.Landry to ATL 35 for 9 yards (R.Allen).,1.0
12488,2017101508,2095,2,00:09:00,4,6,LA,45.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"2 DL, 4 LB, 5 DB",14,24,14,24,False,4.0,C,5.0,9,(:09) (Shotgun) B.Bortles pass short middle to J.O'Shaughnessy to LA 36 for 9 yards (N.Robey).,1.0
12781,2017101504,1734,2,03:33:00,4,1,DET,41.0,I_FORM,"2 RB, 2 TE, 1 WR",9.0,,"5 DL, 3 LB, 3 DB",24,10,24,10,False,,,,6,"(3:33) A.Kamara right end to DET 35 for 6 yards (T.Whitehead). Brees handed off to #42 Z.Line, who then lateralled to #41 A.Kamara.",1.0
12800,2017101504,2350,2,00:16:00,4,5,NO,5.0,SHOTGUN,"1 RB, 2 TE, 2 WR",6.0,3.0,"4 DL, 2 LB, 5 DB",31,10,31,10,False,2.0,C,2.0,4,"(:16) (Shotgun) M.Stafford pass short left to D.Fells to NO 1 for 4 yards (M.Lattimore; K.Vaccaro). Pass 2, YAC 2",0.0
12968,2017101507,1770,2,01:23:00,4,4,ARI,39.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,5.0,"2 DL, 4 LB, 5 DB",24,0,24,0,False,21.0,C,0.0,21,(1:23) (Shotgun) R.Fitzpatrick pass deep right to C.Brate to ARZ 18 for 21 yards (T.Branch).,1.0
12973,2017101507,1917,2,00:11:00,4,5,ARI,5.0,SHOTGUN,"1 RB, 1 TE, 3 WR",8.0,7.0,"2 DL, 4 LB, 5 DB",24,0,24,0,False,5.0,I,,0,(:11) (Shotgun) R.Fitzpatrick pass incomplete short middle to M.Evans (P.Peterson).,0.0
13041,2017101507,3871,4,03:06:00,4,1,ARI,1.0,JUMBO,"6 OL, 1 RB, 3 TE, 0 WR",11.0,,"5 DL, 4 LB, 2 DB",38,20,38,26,False,,,,1,"(3:06) C.Benenoch reported in as eligible.  D.Martin up the middle for 1 yard, TOUCHDOWN.",1.0
13047,2017101507,4089,4,02:38:00,4,2,TB,35.0,SHOTGUN,"1 RB, 0 TE, 4 WR",6.0,6.0,"3 DL, 3 LB, 5 DB",38,26,38,26,False,4.0,I,,0,(2:38) (Shotgun) C.Palmer pass incomplete short right to J.Brown (J.Evans).,0.0
13330,2017101505,3065,3,04:49:00,4,1,NE,34.0,I_FORM,"1 RB, 2 TE, 1 WR,1 DL",8.0,7.0,"4 DL, 3 LB, 4 DB",14,21,14,21,False,6.0,IN,,0,(4:49) J.McCown pass short left intended for E.Tomlinson INTERCEPTED by D.McCourty at NE 28. D.McCourty to NE 28 for no gain (E.Tomlinson).,0.0
13374,2017101505,4318,4,01:12:00,4,12,NYJ,25.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"2 DL, 2 LB, 7 DB",17,24,17,24,False,17.0,C,15.0,32,(1:12) (Shotgun) J.McCown pass deep middle to R.Anderson to NE 43 for 32 yards (D.Harmon).,1.0
13378,2017101505,4405,4,00:20:00,4,16,NE,49.0,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,3.0,"2 DL, 2 LB, 7 DB",17,24,17,24,False,34.0,I,,0,(:20) (Shotgun) J.McCown pass incomplete deep right to J.Kerley. NYJ-R.Anderson was injured during the play.,0.0
13460,2017101503,2437,2,00:04:00,4,30,,,SHOTGUN,"1 RB, 1 TE, 3 WR",3.0,5.0,"1 DL, 3 LB, 7 DB",14,10,14,10,False,50.0,I,,0,(:04) (Shotgun) C.Keenum pass incomplete deep right to A.Thielen (J.Jones).,0.0
13516,2017101503,3811,4,06:47:00,4,4,GB,40.0,EMPTY,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",23,10,23,10,False,4.0,C,0.0,4,(6:47) (Shotgun) B.Hundley pass short left to J.Nelson pushed ob at GB 44 for 4 yards (H.Smith).,1.0
13521,2017101503,3930,4,05:37:00,4,10,MIN,45.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",23,10,23,10,False,,S,,-6,(5:37) (Shotgun) B.Hundley sacked at GB 49 for -6 yards (E.Griffen).,0.0
13532,2017101503,4198,4,01:18:00,4,4,GB,37.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",23,10,23,10,False,5.0,C,0.0,5,(1:18) (Shotgun) B.Hundley pass short right to D.Adams pushed ob at GB 42 for 5 yards (X.Rhodes).,1.0
13573,2017101510,766,1,01:00:00,4,3,OAK,34.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"3 DL, 3 LB, 5 DB",7,0,7,0,False,9.0,I,,0,(1:00) (Shotgun) P.Rivers pass incomplete short right to K.Allen (T.Carrie).,0.0
13603,2017101510,1543,2,01:47:00,4,1,OAK,1.0,JUMBO,"6 OL, 2 RB, 2 TE, 0 WR",11.0,,"5 DL, 4 LB, 2 DB",7,0,7,6,False,,,,1,"(1:47) M.Gordon left tackle for 1 yard, TOUCHDOWN.",1.0
13644,2017101510,2673,4,15:00:00,4,2,LAC,41.0,EMPTY,"1 RB, 1 TE, 3 WR",4.0,4.0,"4 DL, 1 LB, 6 DB",10,7,10,7,False,3.0,I,,0,(15:00) (Shotgun) D.Carr pass incomplete short left to M.Crabtree.,0.0
13747,2017101200,1621,2,04:26:00,4,1,CAR,3.0,SINGLEBACK,"1 RB, 1 TE, 3 WR",9.0,,"4 DL, 3 LB, 4 DB",10,3,10,3,False,,,,2,(4:26) C.Wentz up the middle to CAR 1 for 2 yards (Ch.Johnson; S.Lotulelei).,1.0
13764,2017101200,2119,2,00:05:00,4,12,PHI,40.0,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,6.0,"3 DL, 1 LB, 6 DB, 1 WR",10,10,10,10,False,18.0,I,,0,(:05) (Shotgun) C.Newton pass incomplete deep middle to E.Dickson (C.Graham).,0.0
13839,2017101200,3996,4,03:33:00,4,2,PHI,45.0,EMPTY,"1 RB, 1 TE, 3 WR",7.0,5.0,"4 DL, 2 LB, 5 DB",23,28,23,28,False,2.0,C,2.0,4,(3:33) (Shotgun) C.Newton pass short left to C.McCaffrey pushed ob at PHI 41 for 4 yards (M.Kendricks).,1.0
13851,2017101200,4297,4,01:22:00,4,1,PHI,48.0,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,5.0,"4 DL, 2 LB, 5 DB",23,28,23,28,False,8.0,I,,0,(1:22) (Shotgun) C.Newton pass incomplete short left to C.McCaffrey.,0.0
13966,2017101600,2803,4,15:00:00,4,1,IND,43.0,I_FORM,"6 OL, 2 RB, 1 TE, 1 WR",9.0,,"4 DL, 4 LB, 3 DB",15,19,15,19,False,,,,1,(15:00) M.Mariota up the middle to IND 42 for 1 yard (A.Woods).,1.0
13999,2017101600,3636,4,02:26:00,4,1,TEN,13.0,I_FORM,"6 OL, 1 RB, 2 TE, 1 WR",10.0,4.0,"3 DL, 4 LB, 4 DB",29,22,29,22,False,,S,,0,"(2:26) J.Brissett sacked at TEN 13 for 0 yards (W.Woodyard). Indianapolis challenged the short of the line to gain ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1 at 02:19.)",0.0
14148,2017101501,3594,4,06:31:00,4,1,CHI,32.0,I_FORM,"2 RB, 2 TE, 1 WR",9.0,,"4 DL, 3 LB, 4 DB",13,17,13,17,False,,,,2,(6:31) J.Allen left guard to CHI 30 for 2 yards (E.Jackson).,1.0
